Time,Distance_cm,Water_Percent,Pump
13:01:58,2,90,OFF
13:01:58,2,90,OFF
13:01:58,2,90,OFF
13:01:59,2,90,OFF
13:01:59,2,90,OFF
13:01:59,7,65,OFF
13:02:00,12,40,OFF
13:02:00,15,25,ON
13:02:00,17,15,ON
13:02:01,18,10,ON
13:02:01,18,10,ON
13:02:01,18,10,ON
13:02:02,18,10,ON
13:02:02,19,5,ON
13:02:02,19,5,ON
13:02:03,21,0,ON
13:02:03,19,5,ON
13:02:03,19,5,ON
13:02:04,20,0,ON
13:02:04,19,5,ON
13:02:04,18,10,ON
13:02:05,17,15,ON
13:02:05,10,50,ON
13:02:05,6,70,ON
13:02:06,5,75,ON
13:02:06,4,80,ON
13:02:06,3,85,ON
13:02:07,3,85,ON
13:02:07,4,80,ON
13:02:07,4,80,ON
13:02:08,3,85,ON
13:02:08,3,85,ON
13:02:08,3,85,ON
13:02:09,3,85,ON
13:02:09,3,85,ON
13:02:09,3,85,ON
13:02:10,3,85,ON
13:02:10,3,85,ON
13:02:10,3,85,ON
13:02:11,3,85,ON
13:02:11,4,80,ON
13:02:11,4,80,ON
13:02:12,4,80,ON
13:02:12,4,80,ON
13:02:12,4,80,ON
13:02:13,4,80,ON
13:02:13,4,80,ON
13:02:13,4,80,ON
13:02:14,4,80,ON
13:02:14,4,80,ON
13:02:14,4,80,ON
13:02:15,5,75,ON
13:02:15,4,80,ON
13:02:15,4,80,ON
13:02:16,4,80,ON
13:02:16,4,80,ON
13:02:16,4,80,ON
13:02:17,3,85,ON
13:02:17,2,90,OFF
13:02:17,2,90,OFF
13:02:18,2,90,OFF
13:02:18,3,85,OFF
13:02:18,2,90,OFF
13:02:19,2,90,OFF
13:02:19,3,85,OFF
13:02:19,3,85,OFF
13:02:20,2,90,OFF
13:02:20,2,90,OFF
13:02:20,2,90,OFF
13:02:21,2,90,OFF
13:02:21,3,85,OFF
13:02:21,4,80,OFF
13:02:22,3,85,OFF
13:02:22,4,80,OFF
15:39:07,2,90,OFF
15:39:07,2,90,OFF
15:39:07,2,90,OFF
15:39:08,2,90,OFF
15:39:08,2,90,OFF
15:39:08,2,90,OFF
15:39:09,3,85,OFF
15:39:09,5,75,OFF
15:39:09,5,75,OFF
15:39:10,6,70,OFF
15:39:10,5,75,OFF
15:39:10,6,70,OFF
15:39:11,6,70,OFF
15:39:11,7,65,OFF
15:39:11,8,60,OFF
15:39:12,9,55,OFF
15:39:12,9,55,OFF
15:39:12,10,50,OFF
15:39:13,11,45,OFF
15:39:13,11,45,OFF
15:39:13,12,40,OFF
15:39:14,12,40,OFF
15:39:14,14,30,OFF
15:39:14,15,25,ON
15:39:15,15,25,ON
15:39:15,15,25,ON
15:39:15,12,40,ON
15:39:16,9,55,ON
15:39:16,8,60,ON
15:39:16,7,65,ON
15:39:17,6,70,ON
